COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,e_e001935,8,2,3,1
1,e_e001936,8,1,4,1
2,e_e001937,7,2,4,1
1,e_e001937,2,1,1,1
1,e_e001940,8,1,4,3
1,e_e001944,5,2,6,3
1,e_e001949,8,1,3,1
2,e_e001950,3,2,6,1
1,e_e001950,3,1,6,1
2,e_e001955,2,2,1,1
1,e_e001955,1,1,5,1
3,e_e001955,2,2,1,1
1,e_e001972,8,2,3,1
1,e_e001976,7,1,4,1
1,e_e001982,10,2,4,1
2,e_e001982,10,2,5,1
2,e_e001987,10,2,4,1
4,e_e001987,10,1,3,2
1,e_e001987,10,2,4,1
3,e_e001987,10,1,4,1
1,e_e001989,8,1,3,3
1,e_e001996,9,1,4,1
3,e_e001996,9,2,4,1
2,e_e001996,9,1,5,1
4,e_e001996,9,2,5,1
19,e_e001997,9,1,3,2
4,e_e001997,7,2,3,2
6,e_e001997,9,2,3,2
8,e_e001997,9,2,3,2
10,e_e001997,9,2,3,2
12,e_e001997,9,2,3,2
14,e_e001997,9,2,3,2
16,e_e001997,9,2,3,2
1,e_e001997,7,2,3,2
18,e_e001997,9,2,3,2
3,e_e001997,7,2,3,2
20,e_e001997,9,1,7,2
5,e_e001997,7,2,3,2
7,e_e001997,9,2,3,2
9,e_e001997,9,2,3,2
11,e_e001997,9,2,3,2
13,e_e001997,9,2,3,2
15,e_e001997,9,2,3,2
17,e_e001997,9,2,3,2
2,e_e001997,7,2,3,2
1,e_e002014,7,2,4,1
1,e_e002018,1,1,4,1
2,e_e002025,2,2,3,3
1,e_e002025,1,2,6,1
1,e_e002035,3,1,8,1
2,e_e002035,3,2,8,1
2,e_e002036,2,1,2,1
1,e_e002036,1,1,5,1
1,e_e002045,8,1,4,1
1,e_e002049,8,2,3,1
2,e_e002058,7,2,7,1
4,e_e002058,7,2,7,1
1,e_e002058,7,2,7,1
3,e_e002058,7,2,7,1
5,e_e002058,7,2,7,1
1,e_e002059,1,2,5,1
3,e_e002059,2,2,2,1
2,e_e002059,2,1,2,1
1,e_e002064,8,2,3,3
1,e_e002066,8,1,3,1
1,e_e002069,8,1,4,3
2,e_e002077,2,2,3,1
1,e_e002077,2,2,3,1
3,e_e002077,3,2,8,1
1,e_e002079,8,2,4,1
1,e_e002081,1,1,4,1
1,e_e002082,8,1,3,1
1,e_e002084,8,1,3,1
