TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
e_e000042,2305010002,,2305010002,,2023-05-01 19:00,1,
e_e000042,2305010003,,2305010003,,2023-05-01 13:00,1,
e_e000042,2305010004,,2305010004,,2023-05-01 01:30,10,
e_e000042,2305010005,,2305010005,,2023-05-01 14:00,16,
e_e000042,2305010006,,2305010006,,2023-05-01 15:00,16,
e_e000042,2305010007,,2305010007,,2023-05-01 16:30,16,15
e_e000042,2305010008,,2305010008,,2023-05-01 17:00,1,
e_e000045,2304290001,2304290001,,2023-04-29 13:00,,,
e_e000045,2304290003,,2304290003,,2023-04-29 14:30,1,
e_e000045,2304290004,,2304290004,,2023-04-29 15:00,1,
e_e000045,2304290005,,2304290005,,2023-04-29 15:30,1,
e_e000045,2304300001,,2304300001,,2023-04-30 12:00,1,
e_e000045,2304300002,,2304300002,,2023-04-30 12:30,1,
e_e000045,2304300003,,2304300003,,2023-04-30 15:30,1,
e_e000046,2304280001,2304280001,,2023-04-28 10:00,,,
e_e000046,2304280002,,2304280002,,2023-04-28 22:00,1,
e_e000046,2304280003,,2304280003,,2023-04-28 10:30,1,
e_e000046,2304280004,,2304280004,,2023-04-28 12:00,1,
e_e000293,2305280001,2305280001,,2023-05-28 10:00,,,
e_e000293,2305280002,,2305280002,,2023-05-28 11:00,13,
e_e000293,2305280003,,2305280003,,2023-05-28 12:30,12,
e_e000293,2305280004,,2305280004,,2023-05-28 13:00,5,
e_e000293,2305280005,,2305280005,,2023-05-28 13:30,15,
e_e000293,2305280006,,2305280006,,2023-05-28 16:30,15,
e_e000293,2305280007,,2305280007,,2023-05-28 17:30,15,
e_e000293,2305280008,,2305280008,,2023-05-28 19:30,15,
e_e000293,2305280009,,2305280009,,2023-05-28 20:00,5,
e_e000293,2305280010,,2305280010,,2023-05-28 21:30,12,
e_e000293,2305280011,,2305280011,,2023-05-28 22:30,13,
e_e000294,2305190001,2305190001,,2023-05-19 11:30,,,
e_e000294,2305190002,,2305190002,,2023-05-19 12:30,1,
e_e000294,2305190003,,2305190003,,2023-05-19 14:30,1,
e_e000294,2305200001,,2305200001,,2023-05-20 09:30,1,
e_e000294,2305200002,,2305200002,,2023-05-20 23:00,1,
e_e000294,2305210001,,2305210001,,2023-05-21 11:00,1,
e_e000294,2305210002,,2305210002,,2023-05-21 15:00,1,
e_e000296,2305230001,2305230001,,2023-05-23 08:00,,,
e_e000296,2305230002,,2305230002,,2023-05-23 10:00,15,
e_e000296,2305230003,,2305230003,,2023-05-23 11:30,15,
e_e000296,2305230004,,2305230004,,2023-05-23 12:30,13,
e_e000296,2305230005,,2305230005,,2023-05-23 14:00,13,
e_e000296,2305230006,,2305230006,,2023-05-23 19:30,5,
e_e000296,2305240001,,2305240001,,2023-05-24 10:00,15,
e_e000296,2305240002,,2305240002,,2023-05-24 11:00,15,
e_e000296,2305240003,,2305240003,,2023-05-24 12:30,5,
e_e000296,2305240004,,2305240004,,2023-05-24 12:30,15,
e_e000296,2305240005,,2305240005,,2023-05-24 15:00,5,
e_e000296,2305240006,,2305240006,,2023-05-24 16:00,15,
e_e000296,2305250001,,2305250001,,2023-05-25 07:00,13,
e_e000299,2305270001,2305270001,,2023-05-27 09:30,,,
e_e000299,2305270002,,2305270002,,2023-05-27 10:00,13,
e_e000299,2305270003,,2305270003,,2023-05-27 12:00,9,
e_e000299,2305270004,,2305270004,,2023-05-27 13:00,6,
e_e000299,2305270005,,2305270005,,2023-05-27 14:30,15,
e_e000299,2305270006,,2305270006,,2023-05-27 16:30,15,
e_e000299,2305270007,,2305270007,,2023-05-27 18:30,15,
e_e000299,2305270008,,2305270008,,2023-05-27 21:00,5,
e_e000299,2305280001,,2305280001,,2023-05-28 12:30,5,
e_e000299,2305280002,,2305280002,,2023-05-28 13:30,15,
e_e000299,2305280003,,2305280003,,2023-05-28 15:00,15,
e_e000299,2305280004,,2305280004,,2023-05-28 16:30,15,
e_e000299,2305280005,,2305280005,,2023-05-28 19:00,15,
e_e000299,2305280010,,2305280010,,2023-05-28 21:00,15,
e_e000301,2305190001,2305190001,,2023-05-19 04:30,,,
e_e000301,2305190002,,2305190002,,2023-05-19 06:30,12,5
e_e000301,2305190003,,2305190003,,2023-05-19 15:30,13,5
e_e000301,2305200001,,2305200001,,2023-05-20 08:00,15,
e_e000301,2305200002,,2305200002,,2023-05-20 13:00,5,
e_e000301,2305200003,,2305200003,,2023-05-20 15:00,15,
e_e000301,2305200004,,2305200004,,2023-05-20 17:30,12,
e_e000302,2305190001,2305190001,,2023-05-19 09:00,,,
e_e000302,2305190002,,2305190002,,2023-05-19 12:00,7,13
e_e000302,2305190003,,2305190003,,2023-05-19 13:00,15,
e_e000302,2305190004,,2305190004,,2023-05-19 09:30,13,
e_e000302,2305190005,,2305190005,,2023-05-19 08:30,15,
e_e000302,2305200001,,2305200001,,2023-05-20 11:00,5,
e_e000302,2305200002,,2305200002,,2023-05-20 01:00,1,
