TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e001888,아쿠아필드고양 입장권,1,4,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,6/5/23 9:47,1,78000,(고양)아쿠아필드 고양 루프탑풀,,0,0
e_e001911,꽃갈비살,1,4,1078163829,(주)코스트코 코리아,경기 고양시 일산동구 장백로 25,경기 고양시 일산동구 백석동 1312,3193029,4128510600,6/2/23 17:13,1,321450,명랑모짜렐라핫도그;스타벅스 베로나;미산냉장꽃갈비살,,0,0
e_e001913,고기와 먹거리,1,2,2208160348,홈플러스,경기 수원시 권선구 금곡로 236,,3175011,4111313400,6/2/23 14:23,1,59120,햄치즈샌드위치;피크닉샌드위치;제주흑돼지묵은지찜;둥근햇반실속8입;롱BBQ용마시멜로우,,0,0
e_e001916,김밥 떡 커피 음료,0,3,,김밥파는사람들,,,,,,1,15000,,2729012500,0,0
e_e001968,물,0,1,,gs25,gs25,,,,,1,1000,,4157034000,0,0
e_e001993,보조배터리,1,1,2018153657,자주,서울 동작구 상도로 96,서울 동작구 상도동 325-4,3119005,1159010200,6/3/23 19:36,1,29900,작고가벼운 고속충전 보조배터리,,0,0
e_e002045,아산스파비스 입장권,1,2,2118841856,(주)티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,4/27/23 0:00,1,35000,충남 아산 스파비스 입장권,,0,0
e_e002045,아산스파비스 입장권,2,2,2208796800,주식회사 스마트인피니,서울 강남구 압구정로42길 27,서울 강남구 신사동 643-22,4166523,1168010700,4/27/23 0:00,1,35000,"1인 종일이용권(주중/주말,대/소인 공통)",,0,0
e_e002066,아쿠아필드 워터파크 이용권,0,2,,아쿠아필드 하남 워터파크,스타필드 하남 3층,,,,,1,68000,,4145010600,0,0
e_e002069,아쿠아리움 입장권,0,2,,코엑스 아쿠아리움,513,,,,,1,33000,,1168010500,0,0
